code,date,open,high,low,close,amount,volume
000300.SH,2021/2/8 10:10,5503.88,5503.88,5491.34,5495.57,10059.16,445025100
000300.SH,2021/2/8 10:15,5495.77,5503.85,5491.59,5503.85,8430.81,407821700
000300.SH,2021/2/8 10:20,5503.67,5504.09,5486.83,5489.05,8053.87,345755700
000300.SH,2021/2/8 10:25,5488.57,5493.69,5482.01,5492.39,6805.71,300161600
000300.SH,2021/2/8 10:30,5493.17,5509.84,5493.17,5509.84,6845.38,290898000
000300.SH,2021/2/8 10:35,5509.81,5514.26,5505.94,5507.49,7673.81,370217900
000300.SH,2021/2/8 10:40,5507.96,5521.85,5507.18,5521.85,6803.41,295346400
000300.SH,2021/2/8 10:45,5522.78,5524.56,5519.46,5522.2,7254.44,342520400
000300.SH,2021/2/8 10:50,5522.28,5543.5,5521.84,5543.5,7629.89,337220000
000300.SH,2021/2/8 10:55,5544.24,5553.74,5544.24,5544.36,7703.1,294337900
000300.SH,2021/2/8 11:00,5544.36,5555.39,5543.91,5555.39,6098.7,294933200
000300.SH,2021/2/8 11:05,5555.83,5555.83,5545.12,5549.2,5709.98,270826300
000300.SH,2021/2/8 11:10,5549.25,5563.38,5549.25,5562.05,5814.54,261585900
000300.SH,2021/2/8 11:15,5562.27,5568.67,5556.54,5568.67,6462.43,283246200
000300.SH,2021/2/8 11:20,5569.1,5573.75,5569.1,5573.75,5916.35,265312700
000300.SH,2021/2/8 11:25,5573.58,5576.49,5566.78,5567.38,6142.49,276282900
000300.SH,2021/2/8 11:30,5567,5567,5558.44,5559.02,3651.95,177169700
000300.SH,2021/2/8 13:05,5559.05,5562.81,5555.99,5561.69,6692.65,275513600
000300.SH,2021/2/8 13:10,5561.86,5567.13,5547.16,5547.16,6113.38,280487700
000300.SH,2021/2/8 13:15,5546.8,5547.31,5541.23,5547.31,5936.06,243188600
000300.SH,2021/2/8 13:20,5547.76,5550.21,5544.24,5547.52,5191.67,217243000
000300.SH,2021/2/8 13:25,5548.05,5558.1,5547.54,5556.02,4901.23,194257300
000300.SH,2021/2/8 13:30,5556.28,5563.28,5556.28,5563.28,4874.24,204339100
000300.SH,2021/2/8 13:35,5562.61,5562.61,5550.81,5551.96,5237.14,231057200
000300.SH,2021/2/8 13:40,5551.8,5556.1,5551,5552.45,4709.65,203456600
000300.SH,2021/2/8 13:45,5551.92,5557.26,5551.61,5551.63,4534.53,195161700
000300.SH,2021/2/8 13:50,5551.71,5554.62,5546.8,5546.8,4298.86,191661200
000300.SH,2021/2/8 13:55,5546.68,5554.22,5545.5,5554.22,4556.73,184071200
000300.SH,2021/2/8 14:00,5554.24,5561.24,5554.24,5561.24,4452.58,172735400
